store_id,lat,lon
74020852,55.736239,37.59093
74020829,55.727975,37.580662
74020956,55.728661,37.623571
74020977,55.74277,37.56342
74021018,55.751489,37.598165
74020807,55.75322,37.599489
74021428,55.740993,37.627795
74021469,55.708262,37.594692
74021128,55.743933,37.628139
74321707,55.706837,37.592123
74021471,55.724667,37.63738
74020477,55.729899,37.63934
74021626,55.709723,37.623834
74021098,55.761217,37.576088
74021177,55.760094,37.61428
74021070,55.748246,37.543721
74021011,55.757747,37.622994
74020681,55.760277,37.62446
74021245,55.76118,37.623831
74020838,55.765261,37.607397
74021012,55.764544,37.564352
74021353,55.742656,37.653218
74220788,55.704801,37.639726
74013266,55.770008,37.596554
74020743,55.770067,37.620724
74321708,55.689735,37.603108
74020763,55.712066,37.657513
74013271,55.775006,37.583211
74020789,55.687924,37.571588
74021596,55.771028,37.632745
74020064,55.757389,37.660721
74021411,55.757085,37.661356
74220465,55.744101,37.508182
74321670,55.779947,37.600095
74021627,55.681656,37.596929
74215106,55.683889,37.622232
74020746,55.717375,37.677696
74021350,55.741759,37.501312
74220512,55.710708,37.675263
74013314,55.747424,37.679833
74013922,55.691963,37.528102
74021242,55.679368,37.57153
74020676,55.695866,37.665113
74021452,55.724216,37.688809
74021094,55.773478,37.65648
74020442,55.774593,37.656588
74021095,55.777495,37.65484
74020588,55.776797,37.656793
74020989,55.776519,37.657884
74220907,55.777824,37.523528
74021327,55.697371,37.499585
74021375,55.791137,37.558796
74020432,55.735383,37.701631
74020424,55.794351,37.587698
74013315,55.671317,37.55467
74021634,55.794867,37.587977
74321716,55.772501,37.677156
74020685,55.793545,37.615395
74021503,55.795686,37.593518
74020876,55.727911,37.475971
74021363,55.789391,37.536823
74321698,55.792924,37.635778
74020764,55.678298,37.665022
74020492,55.790349,37.530516
74020776,55.705214,37.479062
74020706,55.785737,37.665264
74020686,55.677657,37.507276
74021132,55.75104,37.716159
74021506,55.803334,37.61892
74013318,55.806074,37.581378
74021542,55.656991,37.608194
74021507,55.80184,37.531975
74020871,55.653223,37.594504
74213546,55.729736,37.731159
74021752,55.653544,37.620833
74021083,55.807426,37.637826
74013317,55.655764,37.541313
74021359,55.663847,37.511311
74221139,55.782133,37.70431
74021651,55.781683,37.70511
74020828,55.707703,37.729908
74013270,55.792994,37.493554
74021613,55.81434,37.601699
74020758,55.647499,37.595873
74021508,55.653466,37.646382
74021425,55.80829,37.527705
74021661,55.805723,37.514657
74021003,55.692448,37.727614
74020976,55.818298,37.573848
74013342,55.677906,37.467164
74020802,55.819291,37.577625
74015171,55.782692,37.720361
74020655,55.783648,37.719255
74013307,55.648627,37.656423
74321717,55.665048,37.481401
74020898,55.664099,37.482173
74020973,55.640164,37.606432
74020740,55.663108,37.481152
74021208,55.653444,37.501672
74321669,55.643624,37.52467
74020463,55.824355,37.63525
74021069,55.740548,37.417473
74021543,55.717317,37.414124
74213282,55.706321,37.765363
74020578,55.738651,37.41113
74020696,55.636356,37.521184
74021010,55.82055,37.498217
74021654,55.647778,37.481154
74321666,55.823249,37.498291
74220825,55.809475,37.46426
74021160,55.788445,37.750277
74220922,55.6309,37.659527
74014316,55.789548,37.75257
74021693,55.750788,37.782377
74021504,55.837262,37.537964
74221007,55.673768,37.760422
74213277,55.658806,37.741495
74021008,55.803901,37.744698
74013416,55.659627,37.74961
74321718,55.717514,37.794023
74020880,55.659744,37.752984
74220410,55.652414,37.742193
74221047,55.659497,37.428379
74020981,55.622474,37.667618
74021221,55.745261,37.797846
74013341,55.81544,37.738212
74020430,55.707603,37.385074
74021259,55.612071,37.603096
74021099,55.720298,37.380154
74013410,55.850971,37.597386
74014085,55.611124,37.607223
74020391,55.619461,37.509428
74020897,55.619409,37.509323
74020983,55.840164,37.49136
74015477,55.618535,37.506814
74021572,55.716093,37.815408
74220833,55.607397,37.532207
74021053,55.660722,37.781007
74021696,55.606681,37.53627
74020473,55.69478,37.809879
74220466,55.634146,37.441127
74013279,55.658802,37.401899
74321673,55.855773,37.653123
74220483,55.634854,37.437305
74220633,55.649752,37.77009
74021081,55.621124,37.713977
74020775,55.751015,37.81963
74021014,55.752451,37.820394
74021671,55.863047,37.600673
74021251,55.724027,37.825166
74021266,55.637733,37.757353
74020712,55.794845,37.799952
74013273,55.863736,37.545842
74021676,55.734658,37.831021
74020837,55.594477,37.59928
74020836,55.854131,37.47627
74019904,55.85491,37.477941
74021468,55.612824,37.719973
74021491,55.767124,37.830222
74021219,55.613443,37.72969
74021573,55.596808,37.512371
74021505,55.609813,37.719994
74021532,55.695289,37.347171
74021337,55.594672,37.662407
74221295,55.623938,37.422285
74020793,55.869648,37.666697
74020414,55.85017,37.443934
74021347,55.614505,37.743507
74020592,55.82077,37.387698
74321706,55.764327,37.844859
74021527,55.877351,37.559129
74020795,55.85148,37.438281
74020757,55.582826,37.595319
74020415,55.866684,37.706716
74020701,55.875861,37.665554
74021560,55.586598,37.666782
74021321,55.883694,37.606718
74021692,55.580727,37.65178
74221048,55.685881,37.854003
74020918,55.862858,37.434813
74021071,55.803975,37.840967
74021054,55.708704,37.871749
74021308,55.570463,37.575632
74021253,55.569953,37.578684
74321709,55.714641,37.882468
74020799,55.876863,37.449906
74020919,55.897794,37.588206
74011467,55.880997,37.449501
74221477,55.864112,37.396661
74221080,55.876549,37.424239
74321677,55.566608,37.69079
74220805,55.84781,37.359985
74020670,55.908889,37.558649
74020677,55.909223,37.53963
74020699,55.855106,37.355384
74220529,55.913224,37.585372
74013283,55.913227,37.571137
74021307,55.547986,37.543475
74220930,55.543508,37.531753
74220933,55.594243,37.351893
74220904,55.536251,37.515387
74220409,55.875403,37.332854
74220723,55.524447,37.518912
74021605,55.622538,37.270365
74021643,55.693333,37.971302
74013412,55.515393,37.710465
74021568,55.661841,37.183695
74021178,55.964769,37.413908
74021528,55.487728,37.750594
74021236,55.981485,37.415883
